liste,nomNuance,nuance,annee,election,tour,region,inscrits,votants,exprimes,voix,clef,voixPourcent,participationPourcent,blancsNulsPourcent,Couleur,codeCouleur
Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,06,83047,36187,33130,182,Présidentielles12017,0.55,43.57,3.68,Gris,#E0E0E0
Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,11,7199231,5751509,5631456,36350,Présidentielles12017,0.65,79.89,1.67,Gris,#E0E0E0
Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,24,1827657,1466892,1427614,13570,Présidentielles12017,0.95,80.26,2.15,Gris,#E0E0E0
Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,27,2001725,1588715,1544962,15847,Présidentielles12017,1.03,79.37,2.19,Gris,#E0E0E0
Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,28,2398182,1939818,1891428,13896,Présidentielles12017,0.73,80.89,2.02,Gris,#E0E0E0
Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,32,4241887,3316694,3232524,22410,Présidentielles12017,0.69,78.19,1.98,Gris,#E0E0E0
Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,44,3873402,3047571,2971625,30508,Présidentielles12017,1.03,78.68,1.96,Gris,#E0E0E0
Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,52,2705170,2252699,2191921,16988,Présidentielles12017,0.78,83.27,2.25,Gris,#E0E0E0
Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,53,2453683,2048612,2000330,19097,Présidentielles12017,0.95,83.49,1.97,Gris,#E0E0E0
Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,75,4329942,3483794,3389374,91904,Présidentielles12017,2.71,80.46,2.18,Gris,#E0E0E0
Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,76,4194937,3400379,3316240,75482,Présidentielles12017,2.28,81.06,2.01,Gris,#E0E0E0
Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,84,5416712,4297161,4187716,53247,Présidentielles12017,1.27,79.33,2.02,Gris,#E0E0E0
Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,93,3567740,2810838,2750937,29554,Présidentielles12017,1.07,78.78,1.68,Gris,#E0E0E0
Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,94,233656,158991,154376,8711,Présidentielles12017,5.64,68.04,1.98,Gris,#E0E0E0
Jean LASSALLE,Résistons,Résistons,2017,Présidentielles,1,ROM,432238,186961,178413,1293,Présidentielles12017,0.72,43.25,1.98,Gris,#E0E0E0
Jean ZUCCARELLI,Parti radical de gauche,LRDG,2015,Régionales,1,94,229866,137143,133989,4227,Régionales12015,3.15,59.66,1.37,Rose clair,#FFAECD
Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,01,316345,126651,112242,27081,Présidentielles12017,24.13,40.04,4.55,Rouge,#EE4A40
Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,02,310812,123957,109264,29903,Présidentielles12017,27.37,39.88,4.73,Rouge,#EE4A40
Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,03,92935,31925,26839,6633,Présidentielles12017,24.71,34.35,5.47,Rouge,#EE4A40
Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,04,639481,375252,350480,85987,Présidentielles12017,24.53,58.68,3.87,Rouge,#EE4A40
Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,06,83047,36187,33130,2789,Présidentielles12017,8.42,43.57,3.68,Rouge,#EE4A40
Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,11,7199231,5751509,5631456,1224978,Présidentielles12017,21.75,79.89,1.67,Rouge,#EE4A40
Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,24,1827657,1466892,1427614,252308,Présidentielles12017,17.67,80.26,2.15,Rouge,#EE4A40
Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,27,2001725,1588715,1544962,276958,Présidentielles12017,17.93,79.37,2.19,Rouge,#EE4A40
Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,28,2398182,1939818,1891428,362426,Présidentielles12017,19.16,80.89,2.02,Rouge,#EE4A40
Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,32,4241887,3316694,3232524,633313,Présidentielles12017,19.59,78.19,1.98,Rouge,#EE4A40
Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,44,3873402,3047571,2971625,484810,Présidentielles12017,16.31,78.68,1.96,Rouge,#EE4A40
Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,52,2705170,2252699,2191921,403455,Présidentielles12017,18.41,83.27,2.25,Rouge,#EE4A40
Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,53,2453683,2048612,2000330,385736,Présidentielles12017,19.28,83.49,1.97,Rouge,#EE4A40
Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,75,4329942,3483794,3389374,703439,Présidentielles12017,20.75,80.46,2.18,Rouge,#EE4A40
Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,76,4194937,3400379,3316240,734193,Présidentielles12017,22.14,81.06,2.01,Rouge,#EE4A40
Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,84,5416712,4297161,4187716,805588,Présidentielles12017,19.24,79.33,2.02,Rouge,#EE4A40
Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,93,3567740,2810838,2750937,515415,Présidentielles12017,18.74,78.78,1.68,Rouge,#EE4A40
Jean-Luc MÉLENCHON,France insoumise,LFI,2017,Présidentielles,1,94,233656,158991,154376,21314,Présidentielles12017,13.81,68.04,1.98,Rouge,#EE4A40
