election,tour,region,inscrits,votants,exprimes,liste,nuance,nomNuance,voix,annee,clef,voixPourcent,participationPourcent,blancsNulsPourcent,nom,Couleur,codeCouleur
Présidentielles,1,02,310812,123957,109264,Nathalie ARTHAUD,LO,Lutte ouvrière,2253,2017,Présidentielles-2017-T1,2.06,39.88,4.73,Martinique,Rouge,#EE4A40
Présidentielles,1,02,310812,123957,109264,Nicolas DUPONT-AIGNAN,DLF,Debout la France,2338,2017,Présidentielles-2017-T1,2.14,39.88,4.73,Martinique,Bleu marine,#0C295A
Présidentielles,1,02,310812,123957,109264,Philippe POUTOU,NPA,Nouveau Parti Anticapitaliste,3217,2017,Présidentielles-2017-T1,2.94,39.88,4.73,Martinique,Rouge,#EE4A40
Présidentielles,2,02,310673,156134,134502,Emmanuel MACRON,EM,En Marche !,104307,2017,Présidentielles-2017-T2,77.55,50.26,6.96,Martinique,Jaune,#FFCE3E
Présidentielles,2,02,310673,156134,134502,Marine LE PEN,FN,Front National,30195,2017,Présidentielles-2017-T2,22.45,50.26,6.96,Martinique,Bleu marine,#0C295A
Régionales,1,02,310723,127716,120629,Alfred MARIE-JEANNE,LREG,Régionaliste,36523,2015,Régionales-2015-T1,30.28,41.1,2.28,Martinique,Gris,#E0E0E0
Régionales,1,02,310723,127716,120629,Daniel GROMAT,LDVG,Divers gauche,1558,2015,Régionales-2015-T1,1.29,41.1,2.28,Martinique,Rose,#FF5E9A
Régionales,1,02,310723,127716,120629,Ghislaine JOACHIM-ARNAUD,LEXG,Extrême gauche,2460,2015,Régionales-2015-T1,2.04,41.1,2.28,Martinique,Rouge,#EE4A40
Régionales,1,02,310723,127716,120629,Joseph VIRASSAMY,LDVD,Divers droite,2475,2015,Régionales-2015-T1,2.05,41.1,2.28,Martinique,Bleu,#045BFF
Régionales,1,02,310723,127716,120629,Marcellin NADEAU,LREG,Régionaliste,7653,2015,Régionales-2015-T1,6.34,41.1,2.28,Martinique,Gris,#E0E0E0
Régionales,1,02,310723,127716,120629,Nathalie JOS,LDIV,Divers,3868,2015,Régionales-2015-T1,3.21,41.1,2.28,Martinique,Gris,#E0E0E0
Régionales,1,02,310723,127716,120629,Philippe PETIT,LUDI,Union des démocrates et indépendants,1818,2015,Régionales-2015-T1,1.51,41.1,2.28,Martinique,Bleu ciel,#39C3FF
